# Swift-BAT daily average light curve for Crab                          
# Generated Fri Aug 24 11:36:02 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53556       0.22364962     0.00794137   2005         186     0.00108833     0.00782774      0   13832.00000000  4592.65625000     0.00000000
      53557       0.23400911     0.00832474   2005         187     0.00121136     0.00819032      0   11280.00000000  3698.40625000  1608.00000000
      53558       0.23286678     0.00839748   2005         188     0.00164413     0.00815034      0    5696.00000000  2242.68750000  3808.00000000
      53559       0.23052605     0.00816463   2005         189     0.00101607     0.00806841      0   20848.00000000  7386.96875000  2040.00000000
      53560       0.23319992     0.00826151   2005         190     0.00103936     0.00816200      0   19328.00000000  7040.53125000  2304.00000000
      53561       0.23052517     0.00818019   2005         191     0.00109582     0.00806838      0   15752.00000000  5842.75000000  1928.00000000
      53562       0.23012359     0.00817543   2005         192     0.00113980     0.00805433      0   17360.00000000  5479.71875000  1912.00000000
      53563       0.23546690     0.00849188   2005         193     0.00166465     0.00824134      0   16736.00000000  3826.48437500  2288.00000000
      53564       0.23932375     0.00864240   2005         194     0.00173004     0.00837633      0   10792.00000000  2672.59375000  1528.00000000
      53565       0.23962374     0.00869986   2005         195     0.00188024     0.00838683      0   10984.00000000  2059.07812500     0.00000000
      53566       0.24910408     0.00914523   2005         196     0.00224432     0.00871864      0    5544.00000000  1039.37500000     0.00000000
      53567       0.23711951     0.00855112   2005         197     0.00167512     0.00829918      0   11304.00000000  2516.90625000     0.00000000
      53568       0.23438443     0.00850182   2005         198     0.00181506     0.00820346      0    9344.00000000  2089.01562500     0.00000000
      53569       0.23454009     0.00849361   2005         199     0.00177291     0.00820890      0    8448.00000000  1896.54687500     0.00000000
      53571       0.24095085     0.00857456   2005         201     0.00126025     0.00843328      0   24144.00000000  6104.56250000     0.00000000
      53572       0.23544496     0.00837429   2005         202     0.00121182     0.00824057      0   18728.00000000  5405.21875000   712.00000000
      53573       0.24263839     0.00864198   2005         203     0.00130182     0.00849234      0   15320.00000000  4715.75000000   704.00000000
      53574       0.23592269     0.00854077   2005         204     0.00177413     0.00825729      0    6536.00000000  1658.53125000     0.00000000
      53575       0.23449229     0.00843892   2005         205     0.00159663     0.00820723      0    6856.00000000  2638.06250000  1432.00000000
      53576       0.22788904     0.00817246   2005         206     0.00144766     0.00797612      0    3648.00000000  1603.25000000     0.00000000
      53577       0.24653747     0.00873387   2005         207     0.00109806     0.00862881      0   28200.00000000  8138.53125000   336.00000000
      53578       0.23195066     0.00869099   2005         208     0.00252255     0.00811827      0    3720.00000000  1075.31250000     0.00000000
      53579       0.23455807     0.00946167   2005         209     0.00382432     0.00820953      0    1360.00000000   453.06250000     0.00000000
      53580       0.24328425     0.00865094   2005         210     0.00124216     0.00851495      0   13504.00000000  4557.78125000   688.00000000
      53581       0.23508535     0.00835174   2005         211     0.00116457     0.00822799      0   12768.00000000  5544.53125000  1184.00000000
      53582       0.23659350     0.00838078   2005         212     0.00104945     0.00828077      0   12176.00000000  5127.25000000     0.00000000
      53583       0.24161094     0.00862243   2005         213     0.00136910     0.00845638      0    8456.00000000  3246.40625000   512.00000000
      53584       0.23059668     0.00811723   2005         214     0.00070419     0.00807088      0   13040.00000000  9517.81250000  1296.00000000
      53585       0.23355835     0.00859704   2005         215     0.00216419     0.00817454      0    1280.00000000  1228.00000000  1280.00000000
      53586       0.22950003     0.00853860   2005         216     0.00235445     0.00803250      0    1304.00000000   734.00000000   664.00000000
      53587       0.22880718     0.00813833   2005         217     0.00117825     0.00800825      0    4176.00000000  3672.12108612   432.00000000
      53588       0.23160820     0.00837970   2005         218     0.00172607     0.00810629      0    1728.00000000  1330.06250000  1728.00000000
      53589       0.22959877     0.00833104   2005         219     0.00178671     0.00803596      0    2304.00000000  1681.00000000  2304.00000000
      53590       0.22758957     0.00828604   2005         220     0.00185522     0.00796564      0    2224.00000000  1403.18750000  2224.00000000
      53591       0.23544411     0.00853380   2005         221     0.00180318     0.00824054      0    4536.00000000  1605.87500000  1600.00000000
      53592       0.22288597     0.00825915   2005         222     0.00220530     0.00780101      0    1152.00000000   831.50000000  1152.00000000
      53593       0.23699249     0.00853446   2005         223     0.00163299     0.00829474      0    5280.00000000  2131.50000000  1728.00000000
      53594       0.22743858     0.00801675   2005         224     0.00077176     0.00796035      0    9104.00000000  7703.75000000   448.00000000
      53595       0.23325649     0.01385862   2005         225     0.00910464     0.00816398      0     304.00000000    62.01562500   304.00000000
      53596       0.21928020     0.01207944   2005         226     0.00758368     0.00767481      0      64.00000000    46.50000000    64.00000000
      53597       0.23079219     0.01565844   2005         227     0.01090574     0.00807773      0      64.00000000    36.00000000    64.00000000
      53598       0.23695288     0.00843696   2005         228     0.00126018     0.00829335      0   16552.00000000  5006.48437500   352.00000000
      53599       0.23187277     0.00834321   2005         229     0.00157377     0.00811555      0    5176.00000000  2785.34375000  2240.00000000
